Per Scene Stats:
Scene Duration (seconds), Average FPS, Min FPS, Max FPS, Scene Name
32.60, 38.77, 10.27, 76.74, Welcome Center
6.73, 31.87, 15.37, 43.73, Scene Change: Disregard Performance In This Section
22.16, 22.59, 14.20, 34.61, Town Center
7.87, 21.99, 18.56, 29.60, Raffle
9.22, 40.49, 12.04, 63.79, Monument Island
3.05, 51.88, 43.62, 60.47, Benchmark Finished: Disregard Performance In This Section
81.62, 32.96, 10.27, 76.74, Overall


Elapsed Time (seconds), Average FPS, Min FPS, Max FPS, Scene Name
0.00, 53.76, 44.51, 68.69, Welcome Center
0.52, 54.34, 42.97, 74.97, Welcome Center
1.04, 53.46, 52.15, 56.28, Welcome Center
1.54, 53.54, 51.20, 55.55, Welcome Center
2.05, 52.12, 50.86, 53.72, Welcome Center
2.56, 51.72, 50.49, 53.02, Welcome Center
3.07, 51.37, 49.83, 52.80, Welcome Center
3.57, 50.60, 49.32, 52.05, Welcome Center
4.09, 48.73, 47.25, 50.79, Welcome Center
4.60, 45.30, 42.45, 48.03, Welcome Center
5.11, 41.60, 40.55, 42.89, Welcome Center
5.61, 41.35, 21.05, 50.20, Welcome Center
6.14, 27.03, 10.27, 41.02, Welcome Center
6.66, 24.63, 20.96, 38.05, Welcome Center
7.19, 24.58, 17.74, 30.04, Welcome Center
7.72, 23.98, 19.98, 31.08, Welcome Center
8.26, 20.42, 17.87, 23.48, Welcome Center
8.80, 22.35, 17.77, 23.96, Welcome Center
9.34, 21.69, 16.42, 24.25, Welcome Center
9.84, 20.45, 14.83, 23.11, Welcome Center
10.38, 22.45, 16.63, 26.07, Welcome Center
10.92, 25.72, 22.90, 28.49, Welcome Center
11.42, 27.98, 22.64, 29.91, Welcome Center
11.92, 28.40, 19.14, 30.74, Welcome Center
12.45, 28.28, 20.72, 30.34, Welcome Center
12.98, 28.38, 23.10, 30.17, Welcome Center
13.51, 26.71, 19.28, 29.78, Welcome Center
14.03, 27.84, 24.82, 29.33, Welcome Center
14.54, 23.77, 21.27, 25.54, Welcome Center
15.04, 27.49, 23.28, 40.22, Welcome Center
15.55, 49.61, 40.90, 58.35, Welcome Center
16.07, 50.62, 31.80, 58.60, Welcome Center
16.59, 55.34, 42.91, 60.15, Welcome Center
17.09, 54.89, 43.24, 61.00, Welcome Center
17.60, 37.49, 25.70, 54.10, Welcome Center
18.11, 26.18, 23.65, 29.01, Welcome Center
18.65, 25.86, 21.27, 31.70, Welcome Center
19.15, 50.66, 29.02, 72.01, Welcome Center
19.66, 62.85, 56.03, 74.94, Welcome Center
20.17, 63.10, 49.44, 70.39, Welcome Center
20.68, 64.34, 59.27, 71.61, Welcome Center
21.19, 65.38, 61.09, 70.99, Welcome Center
21.70, 67.48, 62.28, 74.33, Welcome Center
22.20, 65.93, 35.75, 74.52, Welcome Center
22.70, 62.80, 58.49, 71.55, Welcome Center
23.21, 62.65, 59.66, 68.89, Welcome Center
23.72, 56.22, 30.62, 76.74, Welcome Center
24.24, 24.37, 16.26, 29.76, Welcome Center
24.77, 26.25, 22.37, 29.30, Welcome Center
25.30, 30.52, 27.82, 33.90, Welcome Center
25.83, 36.22, 32.62, 39.22, Welcome Center
26.35, 34.32, 21.04, 39.67, Welcome Center
26.88, 30.98, 21.60, 35.72, Welcome Center
27.39, 30.15, 28.04, 31.97, Welcome Center
27.92, 29.38, 28.25, 30.62, Welcome Center
28.43, 27.57, 22.86, 31.32, Welcome Center
28.94, 29.04, 25.21, 31.92, Welcome Center
29.46, 30.09, 24.71, 32.44, Welcome Center
29.99, 26.44, 22.75, 31.80, Welcome Center
30.52, 26.04, 21.89, 31.17, Welcome Center
31.06, 27.05, 24.55, 31.83, Welcome Center
31.57, 26.64, 23.47, 33.19, Welcome Center
32.10, 35.73, 31.94, 40.40, Welcome Center
32.60, 39.24, 35.65, 41.73, Scene Change: Disregard Performance In This Section
33.11, 37.28, 31.78, 41.28, Scene Change: Disregard Performance In This Section
33.62, 39.94, 37.04, 41.58, Scene Change: Disregard Performance In This Section
34.12, 39.77, 36.72, 41.99, Scene Change: Disregard Performance In This Section
34.63, 37.64, 29.79, 41.99, Scene Change: Disregard Performance In This Section
35.13, 39.19, 34.02, 42.76, Scene Change: Disregard Performance In This Section
35.64, 41.63, 39.57, 43.73, Scene Change: Disregard Performance In This Section
36.15, 35.86, 15.39, 43.30, Scene Change: Disregard Performance In This Section
36.68, 21.89, 18.62, 26.77, Scene Change: Disregard Performance In This Section
37.18, 20.71, 17.14, 26.78, Scene Change: Disregard Performance In This Section
37.71, 21.01, 16.43, 27.93, Scene Change: Disregard Performance In This Section
38.23, 20.23, 15.37, 26.69, Scene Change: Disregard Performance In This Section
