Per Scene Stats:
Scene Duration (seconds), Average FPS, Min FPS, Max FPS, Scene Name
32.60, 37.03, 10.80, 81.99, Welcome Center
6.78, 30.25, 14.87, 42.17, Scene Change: Disregard Performance In This Section
22.13, 22.57, 10.96, 35.68, Town Center
7.88, 21.97, 17.07, 35.86, Raffle
9.24, 40.33, 8.86, 63.01, Monument Island
3.04, 51.39, 42.50, 61.53, Benchmark Finished: Disregard Performance In This Section
81.67, 32.09, 8.86, 81.99, Overall


Elapsed Time (seconds), Average FPS, Min FPS, Max FPS, Scene Name
0.00, 54.67, 45.54, 70.70, Welcome Center
0.51, 54.01, 52.16, 57.36, Welcome Center
1.03, 53.52, 48.91, 58.70, Welcome Center
1.54, 52.58, 50.68, 55.35, Welcome Center
2.05, 52.43, 49.92, 55.47, Welcome Center
2.56, 51.73, 50.01, 53.72, Welcome Center
3.07, 50.91, 49.77, 52.38, Welcome Center
3.58, 50.62, 49.41, 52.16, Welcome Center
4.09, 48.54, 47.47, 50.98, Welcome Center
4.61, 44.80, 41.39, 48.01, Welcome Center
5.12, 41.39, 40.51, 42.58, Welcome Center
5.63, 42.92, 35.45, 50.86, Welcome Center
6.14, 24.04, 10.80, 50.32, Welcome Center
6.68, 21.31, 17.75, 26.07, Welcome Center
7.20, 23.50, 16.49, 28.88, Welcome Center
7.71, 21.08, 14.14, 29.83, Welcome Center
8.23, 16.81, 14.20, 21.10, Welcome Center
8.76, 20.57, 18.12, 23.03, Welcome Center
9.30, 19.65, 12.40, 21.99, Welcome Center
9.81, 18.93, 13.73, 21.83, Welcome Center
10.34, 21.66, 18.64, 25.62, Welcome Center
10.84, 25.75, 24.49, 28.19, Welcome Center
11.35, 23.31, 17.14, 28.95, Welcome Center
11.86, 28.49, 25.94, 31.10, Welcome Center
12.39, 23.23, 16.73, 28.81, Welcome Center
12.91, 24.94, 17.95, 29.11, Welcome Center
13.43, 25.01, 18.42, 28.11, Welcome Center
13.95, 24.38, 20.21, 28.12, Welcome Center
14.48, 24.39, 21.64, 25.90, Welcome Center
15.01, 24.77, 21.36, 33.44, Welcome Center
15.54, 47.00, 32.43, 56.26, Welcome Center
16.05, 51.16, 40.86, 56.03, Welcome Center
16.56, 43.14, 27.61, 58.88, Welcome Center
17.07, 50.92, 41.80, 58.85, Welcome Center
17.58, 39.05, 23.50, 52.04, Welcome Center
18.12, 22.86, 21.39, 25.24, Welcome Center
18.64, 24.34, 21.20, 26.32, Welcome Center
19.17, 47.30, 22.76, 71.92, Welcome Center
19.68, 61.93, 33.18, 76.95, Welcome Center
20.18, 64.79, 53.47, 81.99, Welcome Center
20.69, 62.90, 57.40, 68.17, Welcome Center
21.20, 64.99, 55.32, 79.68, Welcome Center
21.71, 66.68, 58.84, 75.07, Welcome Center
22.22, 51.35, 13.95, 71.55, Welcome Center
22.74, 51.45, 31.19, 62.85, Welcome Center
23.25, 61.16, 56.74, 66.53, Welcome Center
23.76, 53.37, 25.24, 75.37, Welcome Center
