Per Scene Stats:
Scene Duration (seconds), Average FPS, Min FPS, Max FPS, Scene Name
32.42, 37.60, 13.29, 96.24, Welcome Center
7.25, 35.72, 11.02, 61.08, Scene Change: Disregard Performance In This Section
21.90, 46.21, 10.29, 77.43, Town Center
7.69, 43.24, 9.71, 74.02, Raffle
9.24, 60.62, 12.22, 99.73, Monument Island
3.54, 73.07, 54.21, 102.48, Benchmark Finished: Disregard Performance In This Section
82.06, 44.42, 9.71, 102.48, Overall


Elapsed Time (seconds), Average FPS, Min FPS, Max FPS, Scene Name
0.00, 45.24, 25.99, 79.37, Welcome Center
0.53, 47.80, 19.13, 96.24, Welcome Center
1.03, 60.22, 56.48, 63.65, Welcome Center
1.55, 61.11, 59.69, 63.06, Welcome Center
2.05, 60.65, 57.22, 65.99, Welcome Center
2.57, 59.20, 51.72, 67.57, Welcome Center
3.07, 59.31, 55.88, 64.71, Welcome Center
3.58, 58.42, 56.17, 59.84, Welcome Center
4.09, 57.72, 51.75, 66.56, Welcome Center
4.59, 57.25, 55.72, 58.62, Welcome Center
5.10, 56.52, 55.08, 58.09, Welcome Center
5.61, 54.18, 50.92, 56.34, Welcome Center
6.13, 35.57, 21.43, 65.71, Welcome Center
6.64, 22.36, 19.43, 33.45, Welcome Center
7.17, 23.27, 18.86, 28.55, Welcome Center
7.69, 19.86, 16.10, 22.83, Welcome Center
8.19, 17.94, 14.30, 20.49, Welcome Center
8.69, 20.23, 18.28, 21.44, Welcome Center
9.24, 19.60, 14.95, 21.60, Welcome Center
9.75, 17.87, 13.29, 20.26, Welcome Center
10.25, 19.54, 16.96, 23.58, Welcome Center
10.76, 23.90, 18.12, 26.75, Welcome Center
11.27, 25.35, 20.93, 27.16, Welcome Center
11.78, 25.80, 19.04, 28.41, Welcome Center
12.28, 25.50, 18.09, 28.48, Welcome Center
12.79, 23.66, 17.40, 27.95, Welcome Center
13.34, 23.00, 18.78, 26.64, Welcome Center
13.86, 24.18, 19.26, 27.69, Welcome Center
14.40, 22.72, 18.36, 26.92, Welcome Center
14.93, 21.21, 18.17, 26.09, Welcome Center
15.45, 41.39, 23.95, 53.53, Welcome Center
15.95, 44.35, 28.52, 53.54, Welcome Center
16.47, 50.43, 42.37, 55.14, Welcome Center
16.99, 50.26, 42.61, 56.38, Welcome Center
17.51, 40.21, 27.49, 51.93, Welcome Center
18.03, 22.07, 17.54, 25.25, Welcome Center
18.57, 21.49, 18.19, 25.97, Welcome Center
19.08, 40.75, 27.60, 62.89, Welcome Center
19.60, 60.23, 50.84, 69.58, Welcome Center
20.11, 62.20, 53.71, 75.10, Welcome Center
20.63, 61.29, 56.96, 66.69, Welcome Center
21.13, 61.69, 56.76, 69.92, Welcome Center
21.64, 63.98, 56.96, 76.84, Welcome Center
22.14, 56.44, 14.09, 74.87, Welcome Center
22.65, 45.07, 19.57, 61.36, Welcome Center
23.16, 59.09, 54.18, 65.16, Welcome Center
23.67, 56.80, 35.45, 68.79, Welcome Center
24.20, 25.68, 21.66, 30.31, Welcome Center
24.70, 25.46, 24.30, 27.57, Welcome Center
25.21, 27.25, 22.13, 30.75, Welcome Center
25.73, 31.75, 27.67, 36.04, Welcome Center
26.23, 33.15, 27.86, 36.14, Welcome Center
26.74, 28.98, 20.38, 33.83, Welcome Center
27.26, 27.15, 22.87, 29.67, Welcome Center
