Per Scene Stats:
Scene Duration (seconds), Average FPS, Min FPS, Max FPS, Scene Name
32.40, 38.68, 12.16, 93.46, Welcome Center
7.19, 37.70, 10.52, 56.68, Scene Change: Disregard Performance In This Section
22.01, 47.07, 11.91, 74.42, Town Center
7.66, 43.73, 10.82, 69.54, Raffle
9.15, 64.82, 25.23, 109.24, Monument Island
3.55, 72.95, 54.08, 114.94, Benchmark Finished: Disregard Performance In This Section
81.96, 45.76, 10.52, 114.94, Overall


Elapsed Time (seconds), Average FPS, Min FPS, Max FPS, Scene Name
0.00, 62.41, 57.95, 93.46, Welcome Center
0.51, 61.01, 59.89, 62.68, Welcome Center
1.02, 60.99, 58.15, 62.88, Welcome Center
1.53, 60.97, 59.61, 62.79, Welcome Center
2.04, 60.87, 58.07, 64.65, Welcome Center
2.55, 59.11, 55.67, 63.10, Welcome Center
3.05, 58.32, 54.59, 61.27, Welcome Center
3.57, 58.38, 56.85, 60.84, Welcome Center
4.08, 57.57, 56.49, 59.19, Welcome Center
4.59, 57.43, 55.55, 59.78, Welcome Center
5.09, 56.57, 54.37, 58.12, Welcome Center
5.60, 53.39, 49.02, 57.22, Welcome Center
6.11, 32.72, 12.16, 57.80, Welcome Center
6.63, 23.71, 16.45, 33.17, Welcome Center
7.14, 19.84, 14.01, 28.76, Welcome Center
7.64, 23.82, 20.57, 30.36, Welcome Center
8.14, 20.49, 18.48, 22.05, Welcome Center
8.68, 20.97, 16.34, 22.56, Welcome Center
9.21, 20.77, 19.19, 23.33, Welcome Center
9.73, 17.62, 12.99, 21.98, Welcome Center
10.25, 20.55, 16.42, 26.02, Welcome Center
10.78, 25.89, 24.11, 27.18, Welcome Center
11.28, 26.05, 17.81, 28.90, Welcome Center
11.82, 25.13, 20.72, 30.55, Welcome Center
12.34, 24.51, 15.51, 29.29, Welcome Center
12.87, 24.84, 21.14, 27.51, Welcome Center
13.39, 23.98, 18.82, 26.50, Welcome Center
13.89, 25.19, 21.17, 29.14, Welcome Center
14.41, 23.36, 20.20, 25.94, Welcome Center
14.92, 23.43, 20.43, 25.91, Welcome Center
15.43, 39.89, 26.32, 50.61, Welcome Center
15.93, 48.82, 35.00, 55.81, Welcome Center
16.45, 48.45, 38.31, 57.57, Welcome Center
16.96, 50.20, 38.50, 59.11, Welcome Center
17.48, 41.84, 31.35, 56.30, Welcome Center
18.01, 25.71, 21.88, 31.53, Welcome Center
18.51, 24.04, 21.01, 26.53, Welcome Center
19.05, 38.66, 22.97, 61.94, Welcome Center
19.57, 61.05, 51.36, 70.37, Welcome Center
20.08, 62.65, 51.08, 70.92, Welcome Center
